	0	1	2	3
0	1004834130880876545	Barstool Sports	2018-06-07 21:15:00	Dave Grohl pranks a massive Foo Fighters crowd with a phony fall off the stagehttps://t.co/Rfqg6cJ5Kb https://t.co/Bha6bD0ztn
1	1004833095697293312	Barstool Sports	2018-06-07 21:10:53	This is the DUMBEST fashion show of all time https://t.co/UJ0UsclyzI
2	1004831279433465856	Barstool Sports	2018-06-07 21:03:40	Marty Mush is through to the second round of #BarstoolIdol, but can the degenerate gambler continue to make content… https://t.co/128DDgBl9B
3	1004826581007785985	Barstool Sports	2018-06-07 20:45:00	What does Julian Edelman's PED suspension mean to TB12 Fitness?https://t.co/arrgw8Dw0L https://t.co/7OOQ6v0JIA
4	1004811481655988224	Barstool Sports	2018-06-07 19:45:00	This dude escaping from cops over 1,000 fences should win best play at the ESPYShttps://t.co/PUOUWBzKG0 https://t.co/pOAOby0Cim
5	1004803747078434816	Barstool Sports	2018-06-07 19:14:16	Hue Jackson, who is 1-31 as the Browns Head Coach, decides now is the time to have players earn the stripes on thei… https://t.co/LIvx8LBHLX
6	1004798392042688512	Barstool Sports	2018-06-07 18:52:59	A man in China tracked down the guy that stole his 3 dogs, rammed his car over, and then attacked him with a machet… https://t.co/wNjcfaYGAg
7	1004788832599003136	Barstool Sports	2018-06-07 18:15:00	Terrell Owens declining his invitation to the Hall of Fame ceremony is the most T.O. move ever… https://t.co/d9BV48TueR
8	1004785068106231808	Barstool Sports	2018-06-07 18:00:02	.@BarstoolNate and @pftcommenter were popping bottles of champagne... after the Washington Capitals won a... Stanle… https://t.co/dZmn8EHDTf
9	1004784733782454275	Barstool Sports	2018-06-07 17:58:43	Breaking News: Julian Edelman suspended for PEDshttps://t.co/u8id7rHTKD https://t.co/XTPbqRyLXR
10	1004773732844367873	Barstool Sports	2018-06-07 17:15:00	It's about time...Google removes the egg from the salad emoji to be more inclusive for vegans… https://t.co/V05jdQDeuy
11	1004766182962937856	Barstool Sports	2018-06-07 16:45:00	A Korean woman ate a raw squid and naturally it impregnated her https://t.co/Ql6p6qiv1B https://t.co/Mjz5SBNtRI
12	1004761299727904769	Barstool Sports	2018-06-07 16:25:36	Still gonna 🗣 SEND IT @spittinchiclets @gonepatrol (via Instagram/Buhsch) https://t.co/27hnocNVvf
13	1004756531722715136	Barstool Sports	2018-06-07 16:06:39	Stairs aren’t easy (Via IG/redvrr) https://t.co/dlb3OTQdmR
14	1004751085834207232	Barstool Sports	2018-06-07 15:45:00	A guy who returned a 1 million dollar lottery ticket to the person who lost it says he has no regrets… https://t.co/Y1usSuu0Eg
15	1004743534564593664	Barstool Sports	2018-06-07 15:15:00	A Cavs fan heckled Kevin Durant at the Warriors hotel last night and KD was held back from confronting him… https://t.co/AkkhdNuulP
16	1004735984641032192	Barstool Sports	2018-06-07 14:45:00	This White House chef will decorate your cake then smash your skull into a billion pieces. https://t.co/ZLYyEMkMEg https://t.co/6KZnC532Xo
17	1004732342257082368	Barstool Sports	2018-06-07 14:30:32	After a long week @DonnieDoesWorld likes to kick back with a bottle of wine and then take an entire lamb to the fac… https://t.co/x9icbo3DM3
18	1004729157559967744	Barstool Sports	2018-06-07 14:17:52	North Korea: “we have nuclear weapons”White House: “we have Chef Rush”@BarstoolNewsN https://t.co/UQwHtmD89k
19	1004717832544903168	Barstool Sports	2018-06-07 13:32:52	Josh Gordon has been smoking that anabolic strain of kush this offseason @LacesOutShow https://t.co/aeUuw3MrqV
20	1004709961048510464	Barstool Sports	2018-06-07 13:01:35	Smash this link for the first @MickstapeShow Scary Hour with @T_Rozzay3  »https://t.co/uZix2ynopU https://t.co/n3nDE2zlKV
21	1004702096715927552	Barstool Sports	2018-06-07 12:30:20	Scary Terry @T_Rozzay3 talks about the game inside the game on his first episode of @MickstapeShow. Download &amp; su… https://t.co/55ohRRutSE
22	1004700091528220672	Barstool Sports	2018-06-07 12:22:22	Is this the beginning of the end for Red Panda? https://t.co/W4MF0CC2Ig
23	1004573666200285185	Barstool Sports	2018-06-07 04:00:00	Dan Gilbert tweeted out a picture pointing out that the Cavs did not get to the free throw line once in the first h… https://t.co/IbTnNI1KZO
24	1004569878865629184	Barstool Sports	2018-06-07 03:44:57	Kevin Durant murders the Cavs with another Game 3 dagger as the Warriors take a 3-0 leadhttps://t.co/92OMeb78vE https://t.co/mQazVOxXgc
25	1004567307870507008	Barstool Sports	2018-06-07 03:34:44	Drunk texting your go-to number at 2am but you know it isn’t going to be fun. https://t.co/isBHL8XANp
26	1004554790700011521	Barstool Sports	2018-06-07 02:45:00	Buffalo radio producer quits job because Bills drafted Josh Allenhttps://t.co/1iXSnHPg4g https://t.co/LwZIAgQSZD
27	1004547240235417601	Barstool Sports	2018-06-07 02:15:00	India bans Love, Simon out of fear that it'll turn everyone gayhttps://t.co/riEJGyFkkd https://t.co/uzhwlQ9FeM
28	1004543508714283008	Barstool Sports	2018-06-07 02:00:10	A Belarusian paraglider crashed into a forest and was totally fine other than the gigantic tree sticking out of his… https://t.co/h14VuqwLgL
29	1004539787972358144	Barstool Sports	2018-06-07 01:45:23	Early look at the new Dirty Dancing remake:@BarstoolMiamiU @LightsCameraPod https://t.co/6a85Lwftgv
30	1004539690286866435	Barstool Sports	2018-06-07 01:45:00	Michael Porter Jr. cannot be drafted after saying Kevin Durant is better than LeBron James right now… https://t.co/pa7wC5zWhU
31	1004537241434193920	Barstool Sports	2018-06-07 01:35:16	Wake me upWake me up insideI can’t wake upWake me up insideSAAAAVEEEE MEEEEE https://t.co/p6t1MpI1ko
32	1004533441856188417	Barstool Sports	2018-06-07 01:20:10	LeBron trusting nobody else tonight @MickstapeShow https://t.co/ybtL3zkJdj
33	1004533336029659136	Barstool Sports	2018-06-07 01:19:45	LeBron pulling out every trick in his bag @MickstapeShow https://t.co/KFNAoyfVin
34	1004532426910003200	Barstool Sports	2018-06-07 01:16:08	ICYMI - Barstool Idol Season 2 Auditions kicked off tonightSee if Tommy O'Regan and all of other contestants made… https://t.co/1vGWdr3hsT
35	1004532140976037889	Barstool Sports	2018-06-07 01:15:00	Man defies science, does not move once for entirety of 17-hour flighthttps://t.co/px48FbzSkV https://t.co/CgHyWpBhZr
36	1004531419593535488	Barstool Sports	2018-06-07 01:12:08	This security guard has been waiting since his last game of high school football to make an open field tackle like… https://t.co/RCzibOQP4y
37	1004513792980652034	Barstool Sports	2018-06-07 00:02:05	Winner gets a Leesa mattress. Get yours for $160 off today at https://t.co/543vVla7Dx
38	1004505723135406080	Barstool Sports	2018-06-06 23:30:01	The 2nd season of Barstool Idol is live! Who will emerge as this year’s star? The first 10 contestants take their s… https://t.co/lYx70M7jJE
39	1004501942679293953	Barstool Sports	2018-06-06 23:15:00	This girl who caught a foul ball in her beer and chugged it is marriage material https://t.co/MAExomsNbv https://t.co/cjxiqXe6GO
40	1004498170188107782	Barstool Sports	2018-06-06 23:00:01	Tiger by a million! Tiger Woods has parked his $20M yacht in the Hamptons for the U.S. Open https://t.co/WpOIEwRH1s https://t.co/rsX16kFc3a
41	1004494392755937280	Barstool Sports	2018-06-06 22:45:00	Telling police you stole a car because you took LSD and thought you were living in Grand Theft Auto isn't the worst… https://t.co/Xo7T7qOSU8
42	1004489389232320512	Barstool Sports	2018-06-06 22:25:07	Kendall Jenner was CAUGHT making out with Gigi and Bella Hadid's younger brother https://t.co/aIWiZF2FKX
43	1004488006856736768	Barstool Sports	2018-06-06 22:19:37	The Cleveland Cavaliers have arrived at Quicken Loans Arena for tonight's game https://t.co/NbXwtF2L08
44	1004486842710978562	Barstool Sports	2018-06-06 22:15:00	President Trump makes Canadian Prime Minister his little bitch with a history lesson for the ages… https://t.co/SzNZgPQuO8
45	1004483072383803392	Barstool Sports	2018-06-06 22:00:01	Barstool Pizza Review - Il Corallo Trattoria With Special Guest @LisaLeslie https://t.co/GLERW6sh7T
46	1004482603016212480	Barstool Sports	2018-06-06 21:58:09	IHOP is changing its name to IHOb in an effort to be more inclusive and stupidhttps://t.co/FqYr9jhLKq https://t.co/Ka3JWn0pSg
47	1004479292993036288	Barstool Sports	2018-06-06 21:45:00	Passionate gator knocks a guy out with his nose then dummies a female police officer with his tail… https://t.co/UFcbdYegei
48	1004471744374112256	Barstool Sports	2018-06-06 21:15:00	Bo Jackson offers some ironic advice to MLB first round draft pick Kyler Murrayhttps://t.co/mqxvsz8NH9 https://t.co/PosSEZ0oLy
49	1004468261990404096	Barstool Sports	2018-06-06 21:01:10	A girl took a cardboard cutout of Danny DeVito to prom, so Danny DeVito took a cardboard cutout of her to Paddy's P… https://t.co/zZaCPmFocz
50	1004467969458614272	Barstool Sports	2018-06-06 21:00:00	BREAKING NEWS: Danny Ainge has agreed to trade @T_Rozzay3 to @Mickstapeshow for future picks and cash consideration… https://t.co/3O25PVMfsM
51	1004461455226241025	Barstool Sports	2018-06-06 20:34:07	Put a RING on the girl who chugged her beer with a foul ball in it https://t.co/FsZ8b4F5Q6
52	1004460837728411652	Barstool Sports	2018-06-06 20:31:40	Buffalo radio producer quits job because Bills drafted Josh Allenhttps://t.co/1iXSnHPg4g https://t.co/DsDyi90nSu
53	1004459894156734464	Barstool Sports	2018-06-06 20:27:55	Pardon My Take 6-6 with special guest Imagine Dragons. WWIV and Kobe trying to insert himself somehow.Full Show —… https://t.co/6zLpRRGNPi
54	1004449093828001793	Barstool Sports	2018-06-06 19:45:00	India bans Love, Simon out of fear that it'll turn everyone gayhttps://t.co/riEJGyFkkd https://t.co/gNnuFRYM5e
55	1004441544701587456	Barstool Sports	2018-06-06 19:15:00	Michael Porter Jr. cannot be drafted after saying Kevin Durant is better than LeBron James right now… https://t.co/Q3EJWXh5jj
56	1004434459805052928	Barstool Sports	2018-06-06 18:46:51	Topless protestors get Facebook Korea to apologize for deleting their topless protest photoshttps://t.co/IVvu1HgG7Y https://t.co/r3wftaDp3T
57	1004426760476352512	Barstool Sports	2018-06-06 18:16:15	Man defies science, does not move once for entirety of 17-hour flighthttps://t.co/px48FbzSkV https://t.co/2HM67oT5Ll
58	1004423719396179968	Barstool Sports	2018-06-06 18:04:10	Makes sense. https://t.co/ELoP10CHFy
59	1004411352201363456	Barstool Sports	2018-06-06 17:15:02	Dennis Rodman might bring us peace with North Koreahttps://t.co/Wg5RzjymNT https://t.co/IcpmIMjZl4
60	1004403796125110272	Barstool Sports	2018-06-06 16:45:00	The Yankees threatened to boycott ESPN if their game against the Blue Jays was moved to Sunday night, so the Worldw… https://t.co/OQ9vnqcNXK
61	1004399651095826432	Barstool Sports	2018-06-06 16:28:32	Pardon My Take - 6-6 with the Imagine Dragons, talking sex, drugs, and rock and roll but not really Full intervie… https://t.co/N3GDPAqsqZ
62	1004393197303484416	Barstool Sports	2018-06-06 16:02:53	Sixers ownership already met to decide Bryan Colangelo's future and a decision could/should be made sometime today… https://t.co/BmTVrfwTJD
63	1004392472049569793	Barstool Sports	2018-06-06 16:00:00	The big homie @ShaunLatham is teaching you today how to cook up some Steak Torta for your girl #20DollarChef… https://t.co/x1ENz8uWp4
64	1004382410140680195	Barstool Sports	2018-06-06 15:20:01	This girl who caught a foul ball in her beer and chugged it is marriage material https://t.co/MAExomsNbv https://t.co/J159PXtrNO
65	1004374934636978177	Barstool Sports	2018-06-06 14:50:19	Tiger by a million! Tiger Woods has parked his $20M yacht in the Hamptons for the U.S. Openhttps://t.co/WpOIEwRH1s https://t.co/k57EOCorHx
66	1004374108149338115	Barstool Sports	2018-06-06 14:47:02	“Is that an elephant?” @starting9 https://t.co/GVNzUDFB7Q
67	1004369077106888704	Barstool Sports	2018-06-06 14:27:02	Telling police you stole a car because you took LSD and thought you were living in Grand Theft Auto isn't the worst… https://t.co/pEgCMP7B8X
68	1004361793261666304	Barstool Sports	2018-06-06 13:58:06	Very polite eating good boy (via @JenelleBnstr) https://t.co/v8eOIxPL6b
69	1004335788325253121	Barstool Sports	2018-06-06 12:14:46	Catches ball with beer.Chugs beer.Steals every man’s heart.@Starting9 https://t.co/RbAGiCIToM
70	1004334360806518784	Barstool Sports	2018-06-06 12:09:05	Guatemala is looking like something out of a Roland Emmerich film right now. Scary stuff. https://t.co/Et4COgnGjG
71	1004211144784048129	Barstool Sports	2018-06-06 03:59:28	"Someone stole a ""tank-like"" vehicle tonight and was chased by police in Richmond, VAhttps://t.co/DdG30LkxS0 https://t.co/mMmhjdI31X"
72	1004192402221875201	Barstool Sports	2018-06-06 02:45:00	The Bears classily place Zach Miller on the Reserve/PUP listhttps://t.co/7N3YhXr4tV https://t.co/pb0doHTtok
73	1004188059754254336	Barstool Sports	2018-06-06 02:27:45	Saugus High School student athletes were suspended for lighting cigars after graduation, in a classic case of the p… https://t.co/oGS3J8lqOz
74	1004185298778185729	Barstool Sports	2018-06-06 02:16:46	The rare police chase where the cops are faster than the guy they’re chasing but the guy they’re chasing is in a le… https://t.co/2QMkN38K8F
75	1004184853129068545	Barstool Sports	2018-06-06 02:15:00	Gronk is back on the field and is back giving us classic Gronk one-linershttps://t.co/kuP7ZGWlzw https://t.co/fq5DhQQhgE
76	1004177306888425472	Barstool Sports	2018-06-06 01:45:01	People are upset Bryce went to the Caps game wearing a Knights jerseyhttps://t.co/hNyCZvI9nZ https://t.co/1BCITuEXpU
77	1004169754913861633	Barstool Sports	2018-06-06 01:15:00	"Michigan State doctors stay hot...MSU Health Physicist charged with ""sodomy of a basset hound""… https://t.co/Vs5GGuDQ5D"
78	1004162204676055040	Barstool Sports	2018-06-06 00:45:00	The first legal sports bet outside of Vegas has been placed and it was by the LIVING LEGEND, Stu Feiner… https://t.co/mXsnkvwtjK
79	1004154653464932353	Barstool Sports	2018-06-06 00:15:00	Kentucky high school valedictorian quotes Trump during speech, crowd cheers, then he reveals that it was actually a… https://t.co/dJcUVt5paS
80	1004150879820251136	Barstool Sports	2018-06-06 00:00:00	Zah @DaMidgetZimbo stole the show during the El Pres Unlimited Mulligan Challenge at Shinnecock HillsWatch the fu… https://t.co/qVEYSccu71
81	1004147107123433473	Barstool Sports	2018-06-05 23:45:01	We humbly present the most savage obituary everhttps://t.co/uWh7EMhATa https://t.co/FqB837LPX1
82	1004143782512812032	Barstool Sports	2018-06-05 23:31:48	Scott Disick and Sofia Richie are STILL together despite breakup rumors https://t.co/xQ9DFTp6An
83	1004139554662645762	Barstool Sports	2018-06-05 23:15:00	"The CEO of Qatar Airways says only a man could do his job because ""it's very challenging""https://t.co/O2XY7RnRq6 https://t.co/Zz0b895ZqD"
84	1004132004328140800	Barstool Sports	2018-06-05 22:45:00	Miss America is doing away with swimsuits and no longer interested in lookshttps://t.co/aEzpqZiQQR https://t.co/0o3mmIGHMj
85	1004124455545786370	Barstool Sports	2018-06-05 22:15:00	The man mistakenly shot by that dancing FBI agent will get free drinks for life from the bar he was shot at… https://t.co/8WaZq6kRRE
86	1004120679984197632	Barstool Sports	2018-06-05 22:00:00	Barstool Pizza Review - Ceci With Special Guest Jon Lester @JLester34 https://t.co/3YarVr62h8
87	1004113132157976576	Barstool Sports	2018-06-05 21:30:00	The Washington Capitals are just one win away from the Stanley CupNew episode of #HealthyScratches -… https://t.co/k89Qk9JiC4
88	1004109356651155456	Barstool Sports	2018-06-05 21:15:00	"A school in England is banning shorts for boys because they're ""not gender neutral""https://t.co/JNKf5DrPYd https://t.co/04F7jvxmRW"
89	1004106226878201857	Barstool Sports	2018-06-05 21:02:34	Barstool Idol is back, starting tomorrow! Season 2 kicks off tomorrow on all platforms at 7:30 pm. https://t.co/WlQj5VJdQ3
90	1004101806455119872	Barstool Sports	2018-06-05 20:45:00	Lebron James just said the most Lebron James comment in the history of Lebron Jameshttps://t.co/YKNGtFAuDp https://t.co/tD3HA3s9ir
91	1004094255613165568	Barstool Sports	2018-06-05 20:15:00	The Bears classily place Zach Miller on the Reserve/PUP listhttps://t.co/7N3YhXr4tV https://t.co/AtiWZ2aA9v
92	1004090481393819648	Barstool Sports	2018-06-05 20:00:00	The US Open isn't until next week, but @stoolpresidente has already wonWatch the #UnlimitedMulliganChallenge here… https://t.co/pd2BkD9dZO
93	1004086706709114880	Barstool Sports	2018-06-05 19:45:00	Gronk is back on the field and is back giving us classic Gronk one-linershttps://t.co/kuP7ZGWlzw https://t.co/yBwFOV0Bfo
94	1004079156110360578	Barstool Sports	2018-06-05 19:15:00	People are upset Bryce went to the Caps game wearing a Knights jerseyhttps://t.co/hNyCZvqxZp https://t.co/N5J18jnXOE
95	1004075837736407041	Barstool Sports	2018-06-05 19:01:49	Scary Terry Rozier @t_rozzay3 talks about his breakout year with the Celtics and his expectations for 2019 on an al… https://t.co/UNQ8qoDxtE
96	1004071949088313344	Barstool Sports	2018-06-05 18:46:22	“Babe I’m about to give you the ride of your life.” Actually: (via IG/therealtarzann) https://t.co/OjLjKsiRUd
97	1004071607638351873	Barstool Sports	2018-06-05 18:45:00	"Michigan State doctors stay hot...MSU Health Physicist charged with ""sodomy of a basset hound""… https://t.co/j5VZS6NTsP"
98	1004064056712388608	Barstool Sports	2018-06-05 18:15:00	The first legal sports bet outside of Vegas has been placed and it was by the LIVING LEGEND, Stu Feiner… https://t.co/Dqn6LG4iSb
99	1004056508328497152	Barstool Sports	2018-06-05 17:45:00	White House doubles down implying the Eagles are not only disloyal to the flag but to their fans in a WILD spin zon… https://t.co/7OTokxMdY3
100	1004052717214392321	Barstool Sports	2018-06-05 17:29:56	.@ryanwhitney6 joined @ForePlayPod this week to talk about @FrankieBorrelli and his sand wedge issues.… https://t.co/P1NzWBAjiA
101	1004048957104902151	Barstool Sports	2018-06-05 17:15:00	Kentucky high school valedictorian quotes Trump during speech, crowd cheers, then he reveals that it was actually a… https://t.co/xxVPR7n6Mn
102	1004042736960405504	Barstool Sports	2018-06-05 16:50:17	We humbly present the most savage obituary everhttps://t.co/uWh7EM001C https://t.co/SY5WDnbASX
103	1004033858365517825	Barstool Sports	2018-06-05 16:15:00	Supreme Court rules 7-2 that bakers are allowed to deny gay people cakehttps://t.co/6ow1fktj9V https://t.co/4oqRqLAVIx
104	1004033757312143360	Barstool Sports	2018-06-05 16:14:36	@stoolpresidente @RiggsBarstool Barstool Radio will be live from Shinnecock next Thursday and Friday from “The Top… https://t.co/P6ORkglVp2
105	1004030083093450754	Barstool Sports	2018-06-05 16:00:00	History At Shinnecock - US Open Unlimited Mulligan Challenge @stoolpresidente puts @riggsbarstool in a body bag and… https://t.co/VksalkPlLN
106	1004026307888332800	Barstool Sports	2018-06-05 15:45:00	"The CEO of Qatar Airways says only a man could do his job because ""it's very challenging""https://t.co/O2XY7R6g1w https://t.co/ruzoq6EKRB"
107	1004018758799671297	Barstool Sports	2018-06-05 15:15:00	What are the dumbest rules in sportshttps://t.co/ViUV6xGHTX https://t.co/Yp1rags6Pq
108	1004011208758976514	Barstool Sports	2018-06-05 14:45:00	Miss America is doing away with swimsuits and no longer interested in lookshttps://t.co/aEzpqZ1fZj https://t.co/ytgEc8TbN8
109	1004008328169775104	Barstool Sports	2018-06-05 14:33:33	The man mistakenly shot by that dancing FBI agent will get free drinks for life from the bar he was shot at… https://t.co/51R38ep479
110	1004002371901374464	Barstool Sports	2018-06-05 14:09:53	The McAfee Curse Strikes Again — @KFCRadio filmed a whole vlog with no audio ft. @PatMcAfeeShowWatch the full vid… https://t.co/75gMLVZlXG
111	1003994633599442944	Barstool Sports	2018-06-05 13:39:08	@NjTank99  https://t.co/Hox35dtTxQ
112	1003986374549176320	Barstool Sports	2018-06-05 13:06:19	The Phillies only scored one run all series (a Jake Arrieta HR) while getting swept by the Giants, and Arrieta voic… https://t.co/IaVkb6Ecqz
113	1003850557361131520	Barstool Sports	2018-06-05 04:06:38	The Capitals are one win away from the Stanley Cup after they beat Vegas, 6-2https://t.co/pHMJ81LDmg https://t.co/mzY0BiYhFu
114	1003832094945107969	Barstool Sports	2018-06-05 02:53:16	Every crew needs at least one FBI agent who isn't afraid to backflip and maybe drop his gun and shoot into a crowd… https://t.co/n7HiFrbMQl
115	1003830014562000897	Barstool Sports	2018-06-05 02:45:00	.@FeitsBarstool tried to do a chore yesterday, but ended up getting caught in a parade and then punched at a Best B… https://t.co/1WK0kDYGi5
116	1003826662973366272	Barstool Sports	2018-06-05 02:31:41	Whether you love Trump or hate Trump, him disinviting the Eagles to their own Super Bowl party is very funny… https://t.co/PXGlh9cwCD
117	1003822464596492288	Barstool Sports	2018-06-05 02:15:00	"14 years ago today, a dude designed a ""kill-dozer"" and destroyed an entire town because of zoning disputes with his… https://t.co/NGzfC3150N"
118	1003814915415707648	Barstool Sports	2018-06-05 01:45:00	Ian Rapoport was called a liar by linebacker Mychal Kendricks for breaking his signing with the Browns, even though… https://t.co/YbNVh4cZcO
119	1003807365655908352	Barstool Sports	2018-06-05 01:15:00	Just because you turned your tuxedo shirt into a soaking, transparent body condom doesn't mean you were on ecstasy… https://t.co/YsCtiiRm4s
120	1003798980508225536	Barstool Sports	2018-06-05 00:41:41	CHOCOLATE FAX https://t.co/gGqU7FaROa
121	1003792266182438914	Barstool Sports	2018-06-05 00:15:00	Urban Meyer talks shit about Michigan to recruits while Jim Harbaugh stands 10 feet awayhttps://t.co/DxBR9zWdFL https://t.co/Dfb95koXo9
122	1003789488286519297	Barstool Sports	2018-06-05 00:03:58	The Yankees are scheduled to play a double header after a Sunday night baseball game so now they're threatening to… https://t.co/XLdxMnBM9C
123	1003788491044487173	Barstool Sports	2018-06-05 00:00:00	".@DonnieDoesWorld's ""fixer"" while in Russia was passionate about two things: Hockey and Hooters Watch Donnie Does… https://t.co/8blInjPI2R"
124	1003784716162621441	Barstool Sports	2018-06-04 23:45:00	Bill Clinton gets heated over Monica Lewinsky questions on the Today Showhttps://t.co/wnmOEXZnuF https://t.co/mw1yrTSk0u
125	1003778424413048833	Barstool Sports	2018-06-04 23:20:00	Woman on a Southwest flight chronicles her trip featuring the man watching porn and masturbating next to her for 5… https://t.co/rPTIwoVXLm
126	1003777166499295232	Barstool Sports	2018-06-04 23:15:00	Pete Davidson got TWO tattoos for Ariana Grande after only a few weeks of dating https://t.co/eOq46rnNYT
127	1003769616286404608	Barstool Sports	2018-06-04 22:45:00	The Taliban's new uniforms make them look like some real PussySlayers....NOT!https://t.co/S1z3JPuaWJ https://t.co/reml96ZRk8
128	1003762066514034688	Barstool Sports	2018-06-04 22:15:00	Hank the Security Guard from The Office has sadly diedhttps://t.co/Yinj6XXIYO https://t.co/jLv5yYID9D
129	1003758334275514368	Barstool Sports	2018-06-04 22:00:10	The @starting9 crew is hot, but not as hot as Arrieta on the Phillies shifts or the Yankees on their schedule! Tune… https://t.co/TPP3TqPJTP
130	1003758293737705480	Barstool Sports	2018-06-04 22:00:00	Barstool Pizza Review - Zero Otto Nove With Special Guest Terry Rozier @T_Rozzay3 https://t.co/I8Za625xlz
131	1003754517014503429	Barstool Sports	2018-06-04 21:45:00	How high will QB Kyler Murray, Oklahoma's Bo Jackson, go in the MLB Draft?https://t.co/2voHSv5oM3 https://t.co/aJAFxlBeQp
132	1003750742564499459	Barstool Sports	2018-06-04 21:30:00	.@DonnieDoesWorld finds the Red Army Ice rink in Moscow to be a little intimidating. Luckily he's not the only away… https://t.co/zaM02ccSJH
133	1003750472933572608	Barstool Sports	2018-06-04 21:28:56	Poor guy is suing CVS because a pharmacist revealed to his wife that he uses Viagrahttps://t.co/fYxwHey0Ow https://t.co/wd6KWfDWmL
134	1003744922699214848	Barstool Sports	2018-06-04 21:06:52	Remembering @stoolpresidente’s Beef With Chris Webby https://t.co/1hFuaeJXzg https://t.co/mOxCJjDlDn
135	1003742881063030784	Barstool Sports	2018-06-04 20:58:46	If there’s anyone who can handle these Finals, it’s Jr Smith.Full Pardon My Take Here —-&gt; https://t.co/vM9rHJ0FEw https://t.co/reA1XVulco
136	1003739417490513921	Barstool Sports	2018-06-04 20:45:00	"14 years ago today, a dude designed a ""kill-dozer"" and destroyed an entire town because of zoning disputes with his… https://t.co/6BgtSaEo3W"
137	1003731868003401728	Barstool Sports	2018-06-04 20:15:00	Grading the Newest Sex Scandal Teacherhttps://t.co/JSQ7bhcc4S https://t.co/4irrQnlonz
138	1003728577056071680	Barstool Sports	2018-06-04 20:01:55	You can't tell @BarstoolNate and @pftcommenter to 'act like you've been there' because they've literally never been… https://t.co/gzhj95LER6
139	1003728093578776578	Barstool Sports	2018-06-04 20:00:00	Discharging your firearm on the dancefloor... NOT GREAT! https://t.co/dppbhnQjSF
140	1003724318256320513	Barstool Sports	2018-06-04 19:45:00	.@FeitsBarstool tried to do a chore yesterday, but ended up getting caught in a parade and then punched at a Best B… https://t.co/MlPNDQ8K5k
141	1003719685156851712	Barstool Sports	2018-06-04 19:26:35	Live look at LeBron and his teammates so far in the NBA finals @mickstapeshow https://t.co/1DoGx1YVGe
142	1003718238772002817	Barstool Sports	2018-06-04 19:20:50	Ian Rapoport was called a liar by linebacker Mychal Kendricks for breaking his signing with the Browns, even though… https://t.co/kdyC5Cfgq8
143	1003713453175988224	Barstool Sports	2018-06-04 19:01:49	.@TheCreaseDive reporting from the NCAA Men's Lacrosse ChampionshipFull video right here - https://t.co/Ep1iZ8dWIO https://t.co/uPnKw1lECR
144	1003711178365964288	Barstool Sports	2018-06-04 18:52:47	Warriors fans gave us one of the best displays of NBA petty last night and it was awesomehttps://t.co/BIB5PmLdqg https://t.co/b30Ex7FkDr
145	1003702250999599106	Barstool Sports	2018-06-04 18:17:19	Just because you turned your tuxedo shirt into a soaking, transparent body condom doesn't mean you were on ecstasy… https://t.co/b5gut7EciU
146	1003694119913447424	Barstool Sports	2018-06-04 17:45:00	Would you pay $3.3 million for a lunch with Warren Buffett?https://t.co/Z1C8isv1tO https://t.co/si99l6B6fB
147	1003686569859903488	Barstool Sports	2018-06-04 17:15:00	Urban Meyer talks shit about Michigan to recruits while Jim Harbaugh stands 10 feet awayhttps://t.co/DxBR9AdOxj https://t.co/puYfW8bZMs
148	1003679019261313024	Barstool Sports	2018-06-04 16:45:00	Atlanta based plastic surgeon being sued for making music videos of herself twerking to Migos during procedures… https://t.co/LbMgqQekLu
149	1003672597895270402	Barstool Sports	2018-06-04 16:19:29	Perfect form. 10/10.  https://t.co/XAbgjiA1qd
150	1003671471707836420	Barstool Sports	2018-06-04 16:15:00	Bill Clinton gets heated over Monica Lewinsky questions on the Today Showhttps://t.co/wnmOEXZnuF https://t.co/UIJNSoYUx8
151	1003668132131553280	Barstool Sports	2018-06-04 16:01:44	".@DonnieDoesWorld heads to Moscow with China's only professional hockey team in search of another ""Miracle on Ice""… https://t.co/zpMU3OpRp4"
152	1003664172327034882	Barstool Sports	2018-06-04 15:46:00	A Maryland man, terrified of North Korea, hired a guy to build tunnels under his house; fire breaks out and kills t… https://t.co/mJF1PLxZaq
153	1003656370720129024	Barstool Sports	2018-06-04 15:15:00	Woman on a Southwest flight chronicles her trip featuring the man watching porn and masturbating next to her for 5… https://t.co/NsJjvmqbPG
154	1003655952938209282	Barstool Sports	2018-06-04 15:13:20	Pardon My Take 6-4 with Baseball Legend Keith Hernandez + NBA Finals and conspiracy theories.Download Full Show N… https://t.co/bntmyTsLfm
155	1003650078941302784	Barstool Sports	2018-06-04 14:50:00	The Taliban's new uniforms make them look like some real PussySlayers....NOT!https://t.co/S1z3JPLMlj https://t.co/Po1APrCT0i
156	1003643980075192323	Barstool Sports	2018-06-04 14:25:46	"Tristan Thompson stormed out of his postgame interview after a reporter asked if he felt ""helpless"" while guarding… https://t.co/fJ4VhHoRRr"
157	1003638372567568385	Barstool Sports	2018-06-04 14:03:29	“Didn’t I tell you not to stick your head in there?” https://t.co/gkhDrD0m6A
158	1003465805013635073	Barstool Sports	2018-06-04 02:37:46	If I leave the arena now, I can still catch last call  @MickstapeShow https://t.co/3gsWeU82IU
